"Id,Spoiler"
0,False
1,False
2,False
3,False
4,False
5,False
6,False
7,False
8,False
9,False
10,False
11,False
12,False
13,False
14,False
15,False
16,False
17,False
18,False
19,False
20,False
21,True
22,False
23,True
24,True
25,True
26,True
27,True
28,True
29,True
30,False
31,True
32,True
33,True
34,True
35,True
36,True
37,True
38,True
39,True
40,True
41,False
42,False
43,True
44,False
45,True
46,True
47,True
48,True
49,True
50,True
51,True
52,False
53,True
54,True
55,True
56,True
57,True
58,True
59,True
60,False
61,True
62,True
63,True
64,True
65,True
66,False
67,False
68,False
69,True
70,True
71,True
72,True
73,True
74,True
75,True
76,False
77,False
78,True
79,True
80,True
81,False
82,True
83,True
84,True
85,True
86,True
87,False
88,True
89,True
90,True
91,False
92,True
93,True
94,True
95,True
96,True
97,True
98,True
99,True
100,True
101,True
102,False
103,False
104,True
105,True
106,True
107,True
108,False
109,True
110,True
111,True
112,True
113,True
114,True
115,True
116,True
117,True
118,True
119,True
120,False
121,True
122,True
123,True
124,True
125,True
126,False
127,False
128,True
129,True
130,True
131,True
132,True
133,True
134,True
135,True
136,True
137,True
138,True
139,True
140,True
141,True
142,True
143,True
144,False
145,False
146,True
147,True
148,True
149,False
150,True
151,True
152,True
153,True
154,True
155,False
156,True
157,True
158,False
159,False
160,False
161,False
162,False
163,False
164,False
165,False
166,False
167,False
168,False
169,True
170,True
171,False
172,False
173,False
174,False
175,False
176,True
177,True
178,False
179,False
180,False
181,True
182,True
183,False
184,False
185,False
186,False
187,False
188,False
189,False
190,False
191,False
192,False
193,False
194,False
195,False
196,False
197,False
198,False
199,False
200,False
201,False
202,False
203,False
204,False
205,True
206,True
207,True
208,True
209,False
210,False
211,False
212,False
213,False
214,False
215,False
216,True
217,True
218,True
219,False
220,False
221,True
222,True
223,False
224,True
225,False
226,False
227,False
228,False
229,False
230,False
231,False
232,True
233,False
234,False
235,False
236,False
237,False
238,False
239,False
240,True
241,True
242,True
243,False
244,True
245,True
246,True
247,False
248,False
249,True
250,True
251,False
252,False
253,False
254,False
255,False
256,False
